,Biomass,BiomassCost,BiomassTons,MeOHInput,MeOHLitersIn,MeOHCostIn,Elec,ElecRevenue,MeOH,MeOHRevenue,MeOHLiters,H2,H2Revenue,Heat,HeatRevenue,ObjectiveFunction
0,1999991.4334298049,34199.853511649664,514.2835114533784,53904.03834969333,10662.337255983297,5848.588160941726,28980.000000000007,5665.590000000002,224038.79211360248,24308.20894432587,44315.365473020276,579942.0,139244.0742,803794.2752784187,0.0,-129169.43147173562
1,1999986.7848859432,34199.77402154963,514.2823161135283,91212.43246634111,18042.019608726816,9896.54892259801,94668.00000000001,18507.594000000005,228586.136668918,24801.595828577603,45214.840220225546,449152.0,107841.3952,895481.5513499267,0.0,-107054.26208443184
2,2000000.0,34200.0,514.2857142857143,36793.06192234823,7277.748512112837,3992.0472185747826,26404.0,5161.982,223804.0,24282.734,44268.92307692308,585684.0,140622.7284,748117.4120277173,0.0,-131875.39718142626
3,1999740.5253620488,34195.56298369104,514.2189922359554,60963.13227464059,12058.641548830008,6614.499851798504,25116.000000000007,4910.178000000002,224639.41407604894,24373.37642725131,44434.16981724045,578028.0,138784.5228,772182.7924789973,0.0,-127258.01439176277
4,1999825.47257825,34197.015581088075,514.2408358058358,46827.96389106555,9262.674176254724,5080.834082180612,60536.0,11834.788,226471.39163353326,24572.14599223836,44796.53900443515,514228.0,123466.1428,764917.8425475368,0.0,-120595.22712897095
5,2000000.0,34200.0,514.2857142857143,25592.442780682006,5062.241429145892,2776.7800417039975,322.0000000000082,62.9510000000016,222022.0,24089.387,43916.43956043956,637362.0,153030.61620000002,597482.4742822893,0.0,-140206.1741582959
6,2000000.0,34200.0,514.2857142857143,3098.5248432433073,612.8950239382367,336.1899454918988,1.052760655140436e-12,2.0581470807995525e-13,222000.0,24087.0,43912.08791208792,638000.0,153183.80000000002,510093.0783787426,0.0,-142734.61005450765
7,2000000.0,34200.0,514.2857142857143,6719.121989435358,1329.0570968113896,729.0247358537364,4.711810992036353e-12,9.21159048943107e-13,222000.0,24087.0,43912.08791208792,638000.0,153183.80000000002,507559.4180471637,0.0,-142341.77526414578
8,2000000.0,34200.0,514.2857142857143,96.39475160387147,19.06709372384271,10.458830549020055,2.0897989225585647e-12,4.085556893601994e-13,222000.0,24087.0,43912.08791208792,638000.0,153183.80000000002,381619.2929349855,0.0,-143060.34116945052
9,2000000.0,34200.0,514.2857142857143,4.2245616728585524e-13,8.356275836423511e-14,4.5836494150515295e-14,1.3631826184896503e-12,2.6650220191472666e-13,222000.0,24087.0,43912.08791208792,638000.0,153183.80000000002,325708.37150017987,0.0,-143070.79999999955
10,2000000.0,34200.0,514.2857142857143,93.6473369603869,18.52364906908752,10.160736060201979,1.851567324154403e-12,3.6198141187218576e-13,222000.0,24087.0,43912.08791208792,638000.0,153183.80000000002,360288.9553865988,0.0,-143060.63926393937
11,2000000.0,34200.0,514.2857142857143,8.788537601908179e-13,1.7383920531246948e-13,9.535563298070374e-14,3.4819420213888816e-12,6.807196651815263e-13,222000.0,24087.0,43912.08791208792,638000.0,153183.80000000002,195841.12759485448,0.0,-143070.79999999955
12,2000000.0,34200.0,514.2857142857143,1.7407983289740532e-13,3.443337354014611e-14,1.8887661869368478e-14,1.2250798485000705e-12,2.395031103817638e-13,222000.0,24087.0,43912.08791208792,638000.0,153183.80000000002,240589.22844762655,0.0,-143070.79999999955
13,2000000.0,34200.0,514.2857142857143,2.0686613223735007e-13,4.091857560738793e-14,2.244497534775248e-14,2.3359832726214557e-12,4.566847297974946e-13,222000.0,24087.0,43912.08791208792,638000.0,153183.80000000002,70181.73639348059,0.0,-143070.79999999955
14,2000000.0,34200.0,514.2857142857143,9.30704672073385e-13,1.8409542964088936e-13,1.0098145691996227e-13,3.0242641920178104e-12,5.912436495394819e-13,222000.0,24087.0,43912.08791208792,638000.0,153183.80000000002,58897.879718961034,0.0,-143070.79999999955
15,2000000.0,34200.0,514.2857142857143,1.1852800071819474e-12,2.34450990431594e-13,1.2860288077924128e-13,6.005032842540532e-13,1.1739839207166742e-13,222000.0,24087.0,43912.08791208792,638000.0,153183.80000000002,34118.26353482218,0.0,-143070.79999999955
