,Biomass burner EC,Peak burner EC,Total FIC
0,252877.52281947262,527163.75,780041.2728194726
1,505755.04563894524,381352.50000000006,887107.5456389453
2,758632.5684584178,235541.25000000003,994173.8184584178
3,1011510.0912778905,89730.00000000001,1101240.0912778906
4,1264387.6140973633,0.0,1264387.6140973633
