,Biomass,BiomassCost,BiomassTons,Propane,PropaneLiters,PropaneCost,Heat,HeatRevenue,ObjectiveFunction
0,8082226.3318739785,138206.07027504503,2404.6293218798614,6248958.588212229,973863.6760850227,1069196.8144431124,11727575.999524737,0.0,1207402.8847177753
1,13204313.623634657,225793.76296415264,3928.5561194284933,1770040.9698891423,275850.54076194426,302854.00994803227,11727575.999524737,0.0,528647.7729121835
2,15052653.371856881,257400.3726587527,4478.475383362378,270633.1372322549,42176.59281541635,46305.32978043881,11727575.999524737,0.0,303705.70243917144
3,15590810.39564276,266602.8577654912,4638.58821688545,6530.124772033485,1017.681782654569,1117.3043484949294,11727575.999524737,0.0,267720.1621139679
4,15908160.352267329,272029.5420237713,4733.006385798544,0.0,0.0,0.0,11727575.999524737,0.0,272029.5420237442
