,Biomass,BiomassCost,BiomassTons,MeOHInput,MeOHLitersIn,MeOHCostIn,Elec,ElecRevenue,MeOH,MeOHRevenue,MeOHLiters,H2,H2Revenue,Heat,HeatRevenue,ObjectiveFunction
0,2000000.0,34200.0,514.2857142857143,53904.038349693335,10662.337255983299,8182.633021483448,28980.0,7534.8,224040.0,34009.272,44315.6043956044,579942.0,198920.10600000003,803754.7466227438,0.0,-198081.54497851143
1,2000000.0,34200.0,514.2857142857143,91212.43246634112,18042.019608726816,13846.047248390581,94668.0,24613.68,228588.0,34699.6584,45215.208791208795,449152.0,154059.136,895465.5572649604,0.0,-165326.4271516064
2,2000000.0,34200.0,514.2857142857143,36793.06192234823,7277.748512112837,5585.186799812461,26404.0,6865.04,223804.0,33973.447199999995,44268.92307692308,585684.0,200889.61200000002,748116.8198797455,0.0,-201942.9124001817
3,2000000.0,34200.0,514.2857142857143,60963.13227464059,12058.641548830008,9254.203479290441,25116.000000000004,6530.160000000001,224676.0,34105.8168,44441.406593406595,578028.0,198263.60400000002,772283.7197695584,0.0,-195445.37732070388
4,2000000.0,34200.0,514.2857142857143,46827.963891065556,9262.674176254726,7108.484918663751,60536.0,15739.36,226496.0,34382.0928,44801.406593406595,514228.0,176380.20400000003,764895.2269241434,0.0,-185193.17188133203
5,2000000.0,34200.0,514.2857142857143,25592.44278068202,5062.2414291458945,3884.9328141075302,322.0000000000081,83.7200000000021,222022.0,33702.9396,43916.43956043956,637362.0,218615.16600000003,597482.4742822893,0.0,-214316.89278588598
6,2000000.0,34200.0,514.2857142857143,3098.5248432433123,612.8950239382376,470.3560712043348,4.423513318532605e-12,1.1501134628184773e-12,222000.0,33699.6,43912.08791208792,638000.0,218834.00000000003,510093.0783787426,0.0,-217863.24392878925
7,2000000.0,34200.0,514.2857142857143,6719.121989435368,1329.0570968113916,1019.9627179962888,3.831021095043361e-12,9.960654847112739e-13,222000.0,33699.6,43912.08791208792,638000.0,218834.00000000003,507559.4180471637,0.0,-217313.63728199727
8,2000000.0,34200.0,514.2857142857143,96.39475160387617,19.06709372384364,14.632723293468402,4.759573894651004e-12,1.2374892126092611e-12,222000.0,33699.6,43912.08791208792,638000.0,218834.00000000003,381619.2929349855,0.0,-218318.96727670007
9,2000000.0,34200.0,514.2857142857143,1.0171774116803727e-11,2.0119992758512867e-12,1.5440753109308056e-12,7.049924691331515e-12,1.832980419746194e-12,222000.0,33699.6,43912.08791208792,638000.0,218834.00000000003,325708.37150017987,0.0,-218333.59999999354
10,2000000.0,34200.0,514.2857142857143,93.64733696039906,18.523649069089924,14.215665750588576,9.177138503495544e-12,2.3860560109088415e-12,222000.0,33699.6,43912.08791208792,638000.0,218834.00000000003,360288.9553865988,0.0,-218319.38433424296
11,2000000.0,34200.0,514.2857142857143,1.4773053801655653e-11,2.922142510217602e-12,2.242549567091328e-12,8.943027026366123e-12,2.325187026855192e-12,222000.0,33699.6,43912.08791208792,638000.0,218834.00000000003,195841.12759485445,0.0,-218333.59999999354
12,2000000.0,34200.0,514.2857142857143,6.814891240355385e-12,1.348000465125241e-12,1.0345004902859473e-12,5.099490282719384e-12,1.3258674735070398e-12,222000.0,33699.6,43912.08791208792,638000.0,218834.00000000003,240589.22844762655,0.0,-218333.59999999354
13,2000000.0,34200.0,514.2857142857143,9.611179958947428e-12,1.9011125193522386e-12,1.4589771177682195e-12,6.728842642280988e-12,1.7494990869930569e-12,222000.0,33699.6,43912.08791208792,638000.0,218834.00000000003,70181.73639348058,0.0,-218333.59999999354
14,2000000.0,34200.0,514.2857142857143,9.23271509407499e-12,1.8262513372895587e-12,1.4015261512805834e-12,5.682104283946944e-12,1.4773471138262055e-12,222000.0,33699.6,43912.08791208792,638000.0,218834.00000000003,58897.87971896103,0.0,-218333.59999999354
15,2000000.0,34200.0,514.2857142857143,1.099369127346361e-11,2.1745762958499453e-12,1.668842335311776e-12,8.858325038598583e-12,2.3031645100356317e-12,222000.0,33699.6,43912.08791208792,638000.0,218834.00000000003,34118.26353482217,0.0,-218333.59999999354
16,2000000.0,34200.0,514.2857142857143,2.202285694255124e-12,4.3561695051200256e-13,3.3430696838792777e-13,1.3613424738511277e-12,3.539490432012932e-13,222000.0,33699.6,43912.08791208792,638000.0,218834.00000000003,3046.1215772942364,0.0,-218333.59999999354
17,752000.0,12859.2,193.37142857142857,918.8326068087129,181.74710903908607,139.4787897135626,2.633264292142318e-13,6.846487159570027e-14,83472.0,12671.049599999998,16510.945054945056,239888.0,82281.584,199.67847116494704,0.0,-81953.95481028699
18,0.0,0.0,0.0,510.55345000887013,100.98859450724905,77.50201371134648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.50201371134648
19,0.0,0.0,0.0,549.1536241583206,108.62379378955792,83.36152014723305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.36152014723305
20,1166000.0,19938.600000000002,299.8285714285714,21.717570916772395,4.295783258262672,3.2967272651660493,1.8787494531118765e-13,4.884748578090879e-14,129426.0,19646.8668,25600.747252747256,371954.0,127580.22200000001,254.88337566758176,0.0,-127285.19207273496
21,2000000.0,34200.0,514.2857142857143,-1.404661734318933e-13,-2.7784517821693183e-14,-2.1322765126961403e-14,-1.828203502631714e-13,-4.7533291068424565e-14,222000.0,33699.6,43912.08791208792,638000.0,218834.00000000003,852.6644621361061,0.0,-218333.59999999354
