,Biomass,Elec,MeOH,H2,Heat,MeOHInput,operatingMode1,operatingMode2,operatingMode3,operatingMode4
0,2000.0,0.0,222.0,638.0,0.0,0.0,0.0,0.0,1.0,0.0
1,2000.0000000000002,-1.0254882813988686e-13,222.00000000000006,638.0000000000001,323.1933934924257,0.0,-2.220446049250313e-16,0.0,1.0000000000000002,0.0
2,2000.0,-7.662119246738277e-14,222.0,638.0,351.84467259901254,0.0,0.0,0.0,1.0,0.0
3,2000.0,0.0,222.0,638.0,379.3385324542,0.0,0.0,0.0,1.0,0.0
4,2000.0,0.0,222.0,638.0,408.02383743155207,0.0,0.0,0.0,1.0,0.0
5,2000.0,0.0,222.0,638.0,434.45341232302917,0.0,0.0,0.0,1.0,0.0
6,1999.9999999999995,2.4207763891546477e-13,221.99999999999994,637.9999999999999,457.50169583111244,0.0,2.365190403704127e-16,0.0,0.9999999999999998,0.0
7,2000.0000000000005,0.0,222.00000000000006,638.0000000000001,480.5865126002166,6.915257768954747e-14,0.0,0.0,1.0,0.0
8,1999.9999999999993,1.5422632538599063e-14,221.99999999999994,637.9999999999998,503.22940851837984,0.0,0.0,0.0,1.0,0.0
9,2000.0000000000002,-9.707772216696437e-14,222.00000000000003,638.0000000000001,525.3974098026015,-1.3830515537909493e-13,-8.894809653664341e-17,0.0,1.0,0.0
10,2000.0,0.0,222.0,638.0,547.3187503612056,0.0,0.0,0.0,1.0,0.0
11,2000.0000000000002,-9.677048915028822e-14,222.00000000000006,638.0000000000001,567.9956400774589,0.0,0.0,0.0,1.0,0.0
12,2000.0,0.0,222.0,638.0,587.4442416642313,0.0,0.0,0.0,1.0,0.0
13,2000.0,0.0,222.0,638.0,606.4664434898556,0.0,0.0,0.0,1.0,0.0
14,2000.0000000000007,-8.789910702905926e-14,222.00000000000009,638.0000000000002,625.0683899650902,0.0,-7.379853900046457e-17,0.0,1.0,0.0
15,2000.0000000000002,0.0,222.0,638.0,642.4756806311709,0.0,0.0,0.0,1.0,0.0
16,2000.0,0.0,222.0,638.0,658.7599770107709,0.0,0.0,0.0,1.0,0.0
17,1999.9999999999986,0.0,222.00000000000037,637.9999999999997,672.2703823617425,0.0,4.440892098500626e-16,0.0,0.9999999999999996,0.0
18,1999.9999999999995,4.500263215181172e-14,222.0,637.9999999999999,683.0086732992424,0.0,1.397597271795395e-16,0.0,0.9999999999999999,0.0
19,2000.0000000000005,0.0,222.00000000000006,638.0000000000001,692.7280156278924,0.0,0.0,0.0,1.0,0.0
20,2000.0000000000002,0.0,222.00000000000003,638.0000000000001,701.5433140371528,0.0,0.0,0.0,1.0,0.0
21,2000.0,0.0,222.0,638.0,713.1987721304583,0.0,0.0,0.0,1.0,0.0
22,2000.0,0.0,222.0,638.0,727.8828741006389,0.0,0.0,0.0,1.0,0.0
23,2000.0,0.0,222.0,638.0,742.0816234153333,0.0,0.0,0.0,1.0,0.0
24,1999.9999999999998,0.0,221.99999999999997,637.9999999999999,755.8070379213542,0.0,0.0,0.0,1.0,0.0
25,2000.0000000000005,0.0,222.0,638.0000000000001,765.6307610514167,0.0,0.0,0.0,1.0,0.0
26,2000.0,0.0,222.0,638.0,771.471167345389,0.0,0.0,0.0,1.0,0.0
27,2000.0,0.0,222.0,638.0,776.7482832101111,0.0,0.0,0.0,1.0,0.0
28,2000.0,0.0,222.0,638.0,781.7847734137986,0.0,0.0,0.0,1.0,0.0
29,2000.0,0.0,222.0,638.0,787.3023112122708,0.0,0.0,0.0,1.0,0.0
30,2000.0,0.0,222.0,638.0,793.6225747927015,0.0,0.0,0.0,1.0,0.0
31,2000.0000000000002,0.0,222.00000000000003,638.0000000000001,793.8748789356041,0.0,0.0,0.0,1.0,0.0
32,2000.0,0.0,222.0,638.0,840.0,84.1216104807212,0.0,0.0,1.0,0.0
33,2000.0,2.842170943040401e-14,222.00000000000023,638.0,840.0,67.274135524939,1.1102230246251565e-16,0.0,0.9999999999999999,0.0
34,2000.0,0.0,222.0,638.0,840.0,68.18934134115624,0.0,0.0,1.0,0.0
35,2000.0,0.0,222.0,638.0,840.0,46.26617672390336,0.0,0.0,1.0,0.0
36,2000.0,0.0,222.0,638.0,840.0,9.421168826363328,0.0,0.0,1.0,0.0
37,2000.0,0.0,222.0,638.0,840.0,0.0,0.0,0.0,1.0,0.0
38,1999.9999999999998,0.0,221.99999999999997,637.9999999999999,796.7521664106736,0.0,0.0,0.0,1.0,0.0
39,2000.0,0.0,222.0,638.0,776.5315871333403,0.0,0.0,0.0,1.0,0.0
40,2000.0,0.0,222.0,638.0,755.4546914207222,0.0,0.0,0.0,1.0,0.0
41,2000.0,0.0,222.0,638.0,732.8839820609096,0.0,0.0,0.0,1.0,0.0
42,1999.9999999999998,0.0,221.99999999999997,637.9999999999999,705.1215437396041,0.0,0.0,0.0,1.0,0.0
43,2000.0000000000025,0.0,221.99999999999946,638.0000000000008,686.0366416286403,0.0,-6.661338147750939e-16,0.0,1.0000000000000007,0.0
44,2000.0,0.0,222.0,638.0,675.6700983243569,0.0,0.0,0.0,1.0,0.0
45,2000.0,0.0,222.0,638.0,665.3420426565917,0.0,0.0,0.0,1.0,0.0
46,2000.0,0.0,222.0,638.0,654.3133998304417,0.0,0.0,0.0,1.0,0.0
47,2000.0,0.0,222.0,638.0,647.7503218768472,0.0,0.0,0.0,1.0,0.0
48,2000.0,-1.6365098912402628e-14,222.0,638.0,646.7412908587105,0.0,-5.082328854783425e-17,0.0,1.0,0.0
49,2000.0,0.0,222.0,638.0,652.5686043680945,0.0,0.0,0.0,1.0,0.0
50,2000.0,0.0,222.0,638.0,656.6019403222493,0.0,0.0,0.0,1.0,0.0
51,2000.0,0.0,222.0,638.0,649.6254291354848,0.0,0.0,0.0,1.0,0.0
52,1999.9999999999993,1.822829209899726e-13,221.99999999999994,637.9999999999998,622.5181213058638,0.0,1.533699131063247e-16,0.0,0.9999999999999999,0.0
53,1999.9999999999993,1.072330233213005e-13,221.99999999999994,637.9999999999998,604.1769224093716,0.0,9.163829953209963e-17,0.0,0.9999999999999999,0.0
54,2000.0000000000002,1.0063363668447797e-14,222.00000000000003,638.0000000000001,583.0533692421777,0.0,8.757960193863557e-18,0.0,1.0,0.0
55,2000.0000000000002,-1.8097271164742636e-13,222.00000000000003,638.0000000000001,580.6567258922493,0.0,-1.5782640746872684e-16,0.0,1.0000000000000002,0.0
56,2000.0,-1.1124286347194212e-13,222.0,638.0,594.6173781271924,0.0,-9.584800776587286e-17,0.0,1.0,0.0
57,2000.0000000000002,-8.973205102395121e-14,221.99999999999997,638.0000000000001,598.1491535388965,0.0,-2.7867096591289195e-16,0.0,1.0000000000000002,0.0
58,2000.0,0.0,222.0,638.0,585.8232966612806,0.0,0.0,0.0,1.0,0.0
59,2000.0,0.0,222.0,638.0,611.3296967119319,0.0,0.0,0.0,1.0,0.0
60,1999.9999999999998,8.38737451327399e-14,222.00000000000003,637.9999999999999,680.608623750275,0.0,2.6047746935633506e-16,0.0,0.9999999999999998,0.0
61,2000.0,0.0,222.0,638.0,769.2023825723958,0.0,0.0,0.0,1.0,0.0
62,2000.0,0.0,222.0,638.0,838.4296432482917,0.0,0.0,0.0,1.0,0.0
63,1999.9999999999989,0.0,221.9999999999999,637.9999999999997,840.0000000000005,19.500849186299774,6.661338147750939e-16,0.0,0.9999999999999993,0.0
64,2000.0,0.0,222.0,638.0,840.0,32.57134786133921,0.0,0.0,1.0,0.0
65,2000.0,4.6629367034256575e-14,222.0,638.0,840.0,41.19901826724271,1.1102230246251565e-16,0.0,0.9999999999999999,0.0
66,2000.0,-3.552713678800501e-14,222.00000000000023,638.0,840.0,80.55342740881807,1.1102230246251565e-16,0.0,0.9999999999999999,0.0
67,2000.0,0.0,222.0,638.0,787.9547245075556,0.0,0.0,0.0,1.0,0.0
68,2000.0000000000002,0.0,222.0,638.0,796.3483340894375,0.0,0.0,0.0,1.0,0.0
69,2000.0,0.0,222.0,638.0,806.9252481589446,0.0,0.0,0.0,1.0,0.0
70,2000.0,0.0,222.0,638.0,811.7500010797987,0.0,0.0,0.0,1.0,0.0
71,2000.0,0.0,222.0,638.0,815.1227598378194,0.0,0.0,0.0,1.0,0.0
72,2000.0,0.0,222.0,638.0,817.7040464878472,0.0,0.0,0.0,1.0,0.0
73,2000.0,0.0,222.0,638.0,840.0,0.0,0.0,0.0,1.0,0.0
74,2000.0,0.0,222.0,638.0,813.456371772132,0.0,0.0,0.0,1.0,0.0
75,2000.0,0.0,222.0,638.0,809.2483216966667,0.0,0.0,0.0,1.0,0.0
76,2000.0,0.0,222.0,638.0,840.0,0.0,0.0,0.0,1.0,0.0
77,2000.0,0.0,222.0,638.0,840.0,0.0,0.0,0.0,1.0,0.0
78,2000.0,0.0,222.0,638.0,802.8850924319792,0.0,0.0,0.0,1.0,0.0
79,2000.0,0.0,222.0,638.0,840.0,0.0,0.0,0.0,1.0,0.0
80,2000.0,0.0,222.0,638.0,840.0,0.0,0.0,0.0,1.0,0.0
81,2000.0,0.0,222.0,638.0,840.0,0.0,0.0,0.0,1.0,0.0
82,2000.0,0.0,222.0,638.0,840.0,0.0,0.0,0.0,1.0,0.0
83,2000.0,0.0,222.0,638.0,840.0,0.0,0.0,0.0,1.0,0.0
84,2000.0,0.0,222.0,638.0,808.6275399542568,0.0,0.0,0.0,1.0,0.0
85,2000.0,0.0,222.0,638.0,811.6708120004237,0.0,0.0,0.0,1.0,0.0
86,2000.0,0.0,222.0,638.0,816.3901839768124,0.0,0.0,0.0,1.0,0.0
