,Biomass,BiomassCost,BiomassTons,MeOHInput,MeOHLitersIn,MeOHCostIn,Elec,ElecRevenue,MeOH,MeOHRevenue,MeOHLiters,H2,H2Revenue,Heat,HeatRevenue,ObjectiveFunction
0,2000000.0,34200.0,514.2857142857143,15284.485354268718,3023.3047953498567,2320.184876777991,84686.0,14396.62,227846.0,34587.0228,45068.43956043956,469568.0,56442.0736,836116.8131973628,0.0,-68905.53152322209
1,2000000.0,34200.0,514.2857142857143,40103.223520552245,7932.505751318027,6087.669330419831,179998.0,30599.660000000003,234418.0,35584.6524,46368.395604395606,280082.0,33665.8564,937817.9156787591,0.0,-59562.49946958025
2,2000000.0,34200.0,514.2857142857143,18680.243646190906,3694.9932486971024,2835.6609854917792,55706.0,9470.02,225806.0,34277.3508,44664.92307692308,527626.0,63420.6452,763264.759929897,0.0,-70132.35501450828
3,2000000.0,34200.0,514.2857142857143,16492.241969685005,3262.2017082893417,2503.5223309981834,98532.0,16750.440000000002,229692.0,34867.245599999995,45433.582417582424,432564.0,51994.1928,809445.0836045601,0.0,-66908.3560690019
4,2000000.0,34200.0,514.2857142857143,25003.40635044854,4945.728728660151,3795.517083998088,92092.0,15655.640000000001,228652.0,34709.3736,45227.868131868134,451704.0,54294.8208,783204.2884657544,0.0,-66664.317316002
5,2000000.0,34200.0,514.2857142857143,7446.632131574674,1472.9602018499356,1130.3987575730355,29946.0,5090.820000000001,224046.0,34010.182799999995,44316.79120879121,578666.0,69555.6532,612740.7857373516,0.0,-73326.25724242706
6,2000000.0,34200.0,514.2857142857143,1714.7680234023048,339.1848837499065,260.30178595246986,2897.999999999997,492.6599999999995,222198.0,33729.6564,43951.25274725275,632258.0,75997.4116,511261.64904900856,0.0,-75759.42621404762
7,2000000.0,34200.0,514.2857142857143,3856.8106365187314,762.8856204102985,585.4638546235434,5474.0,930.58,222374.0,33756.373199999995,43986.06593406594,627154.0,75383.9108,510192.5449948435,0.0,-75285.40014537655
8,2000000.0,34200.0,514.2857142857143,96.39475160387082,19.067093723842582,14.632723293467588,-1.570325496764859e-11,-2.6695533445002607e-12,222000.0,33699.6,43912.08791208792,638000.0,76687.6,381635.8966974774,0.0,-76172.56727670663
9,2000000.0,34200.0,514.2857142857143,0.0,0.0,0.0,-2.83409967455284e-11,-4.817969446739828e-12,222000.0,33699.6,43912.08791208792,638000.0,76687.6,325708.37150017987,0.0,-76187.2000000001
10,2000000.0,34200.0,514.2857142857143,93.6473369603866,18.523649069087462,14.215665750586684,-2.0762021386611185e-11,-3.529543635723902e-12,222000.0,33699.6,43912.08791208792,638000.0,76687.6,360321.4530814076,0.0,-76172.98433424952
11,2000000.0,34200.0,514.2857142857143,0.0,0.0,0.0,-3.614871382728652e-11,-6.145281350638708e-12,222000.0,33699.6,43912.08791208792,638000.0,76687.6,195841.12759485448,0.0,-76187.2000000001
12,2000000.0,34200.0,514.2857142857143,0.0,0.0,0.0,-2.8927423107097157e-11,-4.917661928206517e-12,222000.0,33699.6,43912.08791208792,638000.0,76687.6,240589.22844762655,0.0,-76187.2000000001
13,2000000.0,34200.0,514.2857142857143,0.0,0.0,0.0,-4.017319121420293e-11,-6.829442506414499e-12,222000.0,33699.6,43912.08791208792,638000.0,76687.6,70181.73639348058,0.0,-76187.2000000001
14,2000000.0,34200.0,514.2857142857143,0.0,0.0,0.0,-3.8177610314733416e-11,-6.4901937535046814e-12,222000.0,33699.6,43912.08791208792,638000.0,76687.6,58897.87971896104,0.0,-76187.2000000001
15,2000000.0,34200.0,514.2857142857143,0.0,0.0,0.0,-4.5213799207440956e-11,-7.686345865264963e-12,222000.0,33699.6,43912.08791208792,638000.0,76687.6,34118.26353482218,0.0,-76187.2000000001
16,2000000.0,34200.0,514.2857142857143,0.0,0.0,0.0,-4.416864231949632e-11,-7.508669194314375e-12,222000.0,33699.6,43912.08791208792,638000.0,76687.6,3046.1215772942387,0.0,-76187.2000000001
17,752000.0,12859.2,193.37142857142857,918.8326068087126,181.74710903908604,139.47878971356258,-1.6183681505065694e-11,-2.751225855861168e-12,83472.0,12671.049599999998,16510.945054945056,239888.0,28834.5376,199.67847116494718,0.0,-28506.90841028634
18,0.0,0.0,0.0,510.55345000887013,100.98859450724905,77.50201371134648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.50201371134648
19,0.0,0.0,0.0,549.1536241583206,108.62379378955792,83.36152014723305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.36152014723305
20,1166000.0,19938.600000000002,299.8285714285714,21.717570916771876,4.29578325826257,3.2967272651659707,-2.593559017182095e-11,-4.409050329209562e-12,129426.0,19646.8668,25600.747252747256,371954.00000000006,44708.870800000004,254.8833756675822,0.0,-44413.84087273481
21,2000000.0,34200.0,514.2857142857143,0.0,0.0,0.0,-4.283693614054791e-11,-7.282279143893146e-12,222000.0,33699.6,43912.08791208792,638000.0,76687.6,852.6644621361061,0.0,-76187.2000000001
22,2000000.0,34200.0,514.2857142857143,0.0,0.0,0.0,-4.410771377242967e-11,-7.498311341313044e-12,222000.0,33699.6,43912.08791208792,638000.0,76687.6,9204.752817448123,0.0,-76187.2000000001
23,2000000.0,34200.0,514.2857142857143,0.0,0.0,0.0,-4.337986496549632e-11,-7.374577044134375e-12,222000.0,33699.6,43912.08791208792,638000.0,76687.6,19764.522986074215,0.0,-76187.2000000001
