,Biomass,BiomassCost,BiomassTons,MeOHInput,MeOHLitersIn,MeOHCostIn,Elec,ElecRevenue,MeOH,MeOHRevenue,MeOHLiters,H2,H2Revenue,Heat,HeatRevenue,ObjectiveFunction
0,1999991.4334298049,34199.853511649664,514.2835114533784,53904.03834969335,10662.3372559833,3503.762492730068,28980.0,3187.8,224038.79211360248,14562.521487384161,44315.365473020276,579942.0,139244.0742,803754.7466227438,0.0,-119290.77968300876
1,1999986.7848859432,34199.77402154963,514.2823161135283,91212.43246634114,18042.01960872682,5928.808110312174,94668.0,10413.48,228586.136668918,14858.098883479672,45214.840220225546,449152.0,107841.3952,895568.0509598638,0.0,-92984.39195162038
2,2000000.0,34200.0,514.2857142857143,36793.06192234824,7277.74851211284,2391.549024952636,26404.000000000004,2904.4400000000005,223804.0,14547.26,44268.92307692308,585684.0,140622.7284,748116.8198797455,0.0,-121482.87937505155
3,1999740.5253620488,34195.56298369104,514.2189922359554,60963.13227464059,12058.641548830008,3962.603597851639,25116.0,2762.76,224639.41407604894,14601.561914943182,44434.16981724045,578028.0,138784.5228,772282.3704607894,0.0,-117990.67813340462
4,1999825.47257825,34197.015581088075,514.2408358058358,46827.96389106554,9262.674176254723,3043.81765291926,60536.0,6658.96,226471.39163353326,14720.640456179663,44796.53900443515,514228.0,123466.1428,764921.3702779592,0.0,-107604.91002217555
5,2000000.0,34200.0,514.2857142857143,25592.44278068202,5062.2414291458945,1663.5087807443315,322.0000000000092,35.42000000000101,222022.0,14431.43,43916.43956043956,637362.0,153030.61620000002,597482.4742822893,0.0,-131633.95741926052
6,2000000.0,34200.0,514.2857142857143,3098.5248432433123,612.8950239382376,201.40411481081532,4.78854059137886e-12,5.267394650516746e-13,222000.0,14430.0,43912.08791208792,638000.0,153183.80000000002,510093.0783787426,0.0,-133212.39588519375
7,2000000.0,34200.0,514.2857142857143,6719.121989435373,1329.0570968113925,436.7429293132992,8.185719700485777e-12,9.004291670534355e-13,222000.0,14430.0,43912.08791208792,638000.0,153183.80000000002,507559.4180471636,0.0,-132977.0570706913
8,2000000.0,34200.0,514.2857142857143,96.39475160388231,19.067093723844856,6.265658854252351,8.980801262460354e-12,9.87888138870639e-13,222000.0,14430.0,43912.08791208792,638000.0,153183.80000000002,381619.2929349855,0.0,-133407.53434115025
9,2000000.0,34200.0,514.2857142857143,1.3086601832375828e-11,2.5885586042062078e-12,8.506291191044289e-13,9.376306527526023e-12,1.0313937180278625e-12,222000.0,14430.0,43912.08791208792,638000.0,153183.80000000002,325708.37150017987,0.0,-133413.8000000045
