,Biomass,BiomassCost,BiomassTons,MeOHInput,MeOHLitersIn,MeOHCostIn,Elec,ElecRevenue,MeOH,MeOHRevenue,MeOHLiters,H2,H2Revenue,Heat,HeatRevenue,ObjectiveFunction
0,1999991.4334298049,34199.853511649664,514.2835114533784,53904.038349693314,10662.337255983293,5848.588160941725,28980.0,7534.8,224038.79211360248,24308.20894432587,44315.365473020276,579942.0,139244.0742,803754.7466227438,0.0,-131038.64147173564
1,1999986.7848859432,34199.77402154963,514.2823161135283,91212.43246634118,18042.01960872683,9896.548922598018,94668.00000000001,24613.680000000004,228586.136668918,24801.595828577603,45214.840220225546,449152.0,107841.3952,895510.8956210514,0.0,-113160.34808443193
2,2000000.0,34200.0,514.2857142857143,36793.061922348264,7277.748512112844,3992.0472185747867,26404.000000000007,6865.040000000002,223804.0,24282.734,44268.92307692308,585684.0,140622.7284,748116.8198797455,0.0,-133578.45518142608
3,1999740.5253620488,34195.56298369104,514.2189922359554,60963.132274640666,12058.641548830023,6614.499851798512,25116.000000000004,6530.160000000001,224639.41407604894,24373.37642725131,44434.16981724045,578028.0,138784.5228,772242.4807013826,0.0,-128877.99639176279
4,1999825.47257825,34197.015581088075,514.2408358058358,46827.96389106557,9262.67417625473,5080.834082180614,60536.0,15739.36,226471.39163353326,24572.14599223836,44796.53900443515,514228.0,123466.1428,764876.4776465917,0.0,-124499.799128971
5,2000000.0,34200.0,514.2857142857143,25592.44278068201,5062.241429145893,2776.780041703998,322.000000000012,83.72000000000313,222022.0,24089.387,43916.43956043956,637362.0,153030.61620000002,597482.4742822894,0.0,-140226.9431582959
6,2000000.0,34200.0,514.2857142857143,3098.5248432432804,612.8950239382314,336.1899454918959,1.346697620559305e-11,3.501413813454193e-12,222000.0,24087.0,43912.08791208792,638000.0,153183.80000000002,510093.0783787426,0.0,-142734.61005450768
7,2000000.0,34200.0,514.2857142857143,6719.121989435337,1329.0570968113855,729.0247358537341,1.3267939663365574e-11,3.4496643124750494e-12,222000.0,24087.0,43912.08791208792,638000.0,153183.80000000002,507559.4180471637,0.0,-142341.77526414578
8,2000000.0,34200.0,514.2857142857143,96.39475160384725,19.06709372383792,10.458830549017428,1.213975742297511e-11,3.1563369299735285e-12,222000.0,24087.0,43912.08791208792,638000.0,153183.80000000002,381619.2929349855,0.0,-143060.34116945052
9,2000000.0,34200.0,514.2857142857143,-1.6706188212959106e-11,-3.3045207454204827e-12,-1.812621421106063e-12,1.047989109560046e-11,2.7247716848561196e-12,222000.0,24087.0,43912.08791208792,638000.0,153183.80000000002,325708.3715001799,0.0,-143070.79999999955
10,2000000.0,34200.0,514.2857142857143,93.64733696036197,18.523649069082587,10.160736060199273,1.0425361359774015e-11,2.710593953541244e-12,222000.0,24087.0,43912.08791208792,638000.0,153183.80000000002,360288.9553865988,0.0,-143060.63926393937
11,2000000.0,34200.0,514.2857142857143,-1.0163145049991027e-11,-2.0102924274707526e-12,-1.1027012379240264e-12,9.537140626804553e-12,2.479656562969184e-12,222000.0,24087.0,43912.08791208792,638000.0,153183.80000000002,195841.1275948545,0.0,-143070.79999999955
12,2000000.0,34200.0,514.2857142857143,-1.1321662440235835e-11,-2.2394497134532424e-12,-1.2284003747655881e-12,7.357973432018052e-12,1.9130730923246935e-12,222000.0,24087.0,43912.08791208792,638000.0,153183.80000000002,240589.22844762655,0.0,-143070.79999999955
13,2000000.0,34200.0,514.2857142857143,-3.717280038886546e-12,-7.352861615379982e-13,-4.033248842191903e-13,4.384495025716246e-12,1.139968706686224e-12,222000.0,24087.0,43912.08791208792,638000.0,153183.80000000002,70181.73639348058,0.0,-143070.79999999955
14,2000000.0,34200.0,514.2857142857143,-3.358631440744928e-12,-6.643446805869089e-13,-3.644115113208247e-13,5.186349610795331e-12,1.3484508988067862e-12,222000.0,24087.0,43912.08791208792,638000.0,153183.80000000002,58897.87971896104,0.0,-143070.79999999955
15,2000000.0,34200.0,514.2857142857143,-3.64828134236613e-12,-7.216380677207731e-13,-3.958385256467251e-13,3.706003802089499e-12,9.635609885432698e-13,222000.0,24087.0,43912.08791208792,638000.0,153183.80000000002,34118.26353482218,0.0,-143070.79999999955
16,2000000.0,34200.0,514.2857142857143,-6.74725283522842e-13,-1.334621439935292e-13,-7.320769326222836e-14,8.281891599192221e-13,2.1532918157899774e-13,222000.0,24087.0,43912.08791208792,638000.0,153183.80000000002,3046.1215772942387,0.0,-143070.79999999955
17,752000.0,12859.2,193.37142857142857,918.8326068087126,181.74710903908604,99.69333783874532,1.4299672557172016e-13,3.717914864864724e-14,83472.0,9056.712,16510.945054945056,239888.0,57597.1088,199.67847116494733,0.0,-53694.92746216116
18,0.0,0.0,0.0,510.55345000887013,100.98859450724905,55.39504932596241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.395049325962404
19,0.0,0.0,0.0,549.1536241583206,108.62379378955792,59.58316822117778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.58316822117777
20,1166000.0,19938.600000000002,299.8285714285714,21.717570916771876,4.29578325826257,2.3563564444697485,0.0,0.0,129426.0,14042.721,25600.747252747256,371954.0,89306.1554,254.8833756675822,0.0,-83407.92004355571
21,2000000.0,34200.0,514.2857142857143,-2.744997731687174e-13,-5.429665842897707e-14,-2.9783225388805837e-14,2.2022301625867532e-13,5.725798422725559e-14,222000.0,24087.0,43912.08791208792,638000.0,153183.80000000002,852.6644621361063,0.0,-143070.79999999955
