,Biomass,Elec,MeOH,H2,Heat,MeOHInput,operatingMode1,operatingMode2,operatingMode3,operatingMode4
8710,2000.0,0.0,222.0,638.0,205.71947250135207,0.0,-9.392137965391504e-18,0.0,1.0,0.0
8711,2000.0,0.0,222.0,638.0,264.0661808720347,0.0,0.0,0.0,1.0,0.0
8712,1999.9999999999998,0.0,222.0,637.9999999999999,343.9661631677965,0.0,0.0,0.0,1.0,0.0
8713,2000.0,0.0,222.00000000000009,638.0,430.3986228412736,0.0,0.0,0.0,1.0,0.0
8714,2000.0,0.0,222.0,638.0,469.21710808944863,0.0,0.0,0.0,1.0,0.0
8715,2000.0000000000002,0.0,221.99999999999991,638.0000000000001,372.07518933534794,0.0,-2.220446049250313e-16,0.0,1.0000000000000002,0.0
8716,2000.0,0.0,222.00000000000009,638.0,398.0561115708,0.0,9.868537699172753e-17,0.0,0.9999999999999999,0.0
8717,1999.9999999999998,0.0,222.00000000000009,637.9999999999999,422.83349849585414,0.0,1.1983912204721359e-16,0.0,0.9999999999999999,0.0
8718,1999.9999999999998,0.0,221.99999999999991,637.9999999999999,442.20137556763405,0.0,-4.9147072210082387e-17,0.0,1.0,0.0
8719,2000.0000000000002,0.0,221.99999999999991,638.0000000000001,459.15669677172576,0.0,-1.21850499413161e-16,0.0,1.0000000000000002,0.0
8720,2000.0,0.0,222.0,638.0,474.1379701609438,0.0,0.0,0.0,1.0,0.0
8721,2000.0000000000002,0.0,222.00000000000003,638.0000000000001,484.4681157637764,0.0,1.2846325759505136e-17,0.0,1.0,0.0
8722,1999.9999999999998,0.0,222.00000000000003,637.9999999999999,490.54809082753746,0.0,0.0,0.0,1.0,0.0
8723,2000.0000000000007,0.0,221.9999999999998,638.0000000000002,495.7831299018507,0.0,-2.220446049250313e-16,0.0,1.0000000000000002,0.0
8724,1999.9999999999995,0.0,222.00000000000003,637.9999999999999,500.3181435232174,0.0,9.069102428905398e-17,0.0,0.9999999999999999,0.0
8725,2000.0,0.0,221.99999999999997,638.0,511.6888821744139,0.0,0.0,0.0,1.0,0.0
8726,2000.0,0.0,222.0,638.0,530.2065576285132,0.0,0.0,0.0,1.0,0.0
8727,2000.0000000000011,0.0,221.99999999999977,638.0000000000003,548.6402944791375,0.0,-3.020093207509258e-16,0.0,1.0000000000000002,0.0
8728,2000.0,0.0,221.99999999999997,638.0,566.9330656583945,0.0,-2.760588438976811e-17,0.0,1.0,0.0
8729,2000.0,0.0,222.0,638.0,580.3307887725022,0.0,0.0,0.0,1.0,0.0
8730,1999.9999999999993,0.0,222.00000000000003,637.9999999999998,588.6836637959855,0.0,2.220446049250313e-16,0.0,0.9999999999999998,0.0
8731,2000.0000000000011,0.0,222.00000000000009,638.0000000000003,596.6476273984534,0.0,0.0,0.0,1.0,0.0
8732,1999.9999999999995,0.0,222.0,637.9999999999999,604.3111278838402,0.0,5.863147812552051e-17,0.0,0.9999999999999999,0.0
8733,2000.0000000000002,0.0,221.9999999999999,638.0000000000001,609.9006480592757,0.0,-1.2422703147358854e-16,0.0,1.0000000000000002,0.0
8734,2000.0,0.0,222.0,638.0,613.3927969005091,0.0,0.0,0.0,1.0,0.0
